Reg. #,Brand,Generic,Form,Packing,Size,Manufacturer_ID
31628,ALGECARE,Loratadine [5 mg/5ml],Syrup,60ml,1,1
31625,ALGEZEN,Cetirizine [10 mg],Tabs,10s,10,1
31626,ALGEZEN,Cetirizine [5 mg/5ml],Syrup,60ml,1,1
67139,ALIDASE,Naproxen [500 mg],Tabs,20s,20,1
66227,ASTHAMA,Ketotifen (Fumarate) [1 mg/5ml],Syrup,60ml,1,1
38233,AZOLIVE,Azithromycin [250 mg],Tabs,10s,10,1
31644,CAPCID,Famotidine [20 mg],Tabs,10s,10,1
31645,CAPCID,Famotidine [40 mg],Tabs,10s,10,1
31646,CAPCID,Famotidine [10 mg/5ml],Susp,60ml,1,1
31643,CARDIVE,Losartan (K) [50 mg],Tabs,20s,20,1
38235,CIPROLIVE,Ciprofloxacin [500 mg],Tabs,10s,10,1
38234,CIPROLIVE,Ciprofloxacin [250 mg],Tabs,10s,10,1
66215,CLAROLIVE,Clarithromycin [250 mg],Tabs,10s,10,1
66216,CLAROLIVE,Clarithromycin [500 mg],Tabs,10s,10,1
69887,DIALON,"Diphenhydramine [10 mg/5ml], Metoclopramide (HCl) [5 mg/5ml]",Syrup,60ml,1,1
32615,ENEMIK,"Calcium Pantothenate [1 mg/5ml], Ferrous Fumarate [130 mg/5ml], Lysine [50 mg/5ml], Nicotinamide [15 mg/5ml], Pyridoxine [1.5 mg/5ml], Riboflavin (Vitamin B2) [1 mg/5ml], Thiamine HCl (Vitamin B1) [1.5 mg/5ml]",Syrup,120ml,1,1
32616,ENEMIK,"Calcium Pantothenate [10 mg], Cyanocobalamin [25 mcg], Ferrous Fumarate [200 mg], Folic Acid [1 mg], Nicotinamide [25 mg], Pyridoxine [2.5 mg], Riboflavin (Vitamin B2) [2.5 mg], Thiamine HCl (Vitamin B1) [2.5 mg]",Tabs,10x2s,20,1
32610,ENEMIK-P,Iron Salts [100 mg],Tabs,10s,10,1
32611,ENEMIK-P,Iron Salts [50 mg/5ml],Syrup,60ml,1,1
72843,ENTAVEER,Entecavir [0.5 mg],Tabs,3x10,30,1
66225,FLULIVE,"Mepyramine [6.25 mg/5ml], Pheniramine (Maleate) [6.25 mg/5ml], Pseudoephedrine (HCl) [15 mg/5ml]",Syrup,60ml,1,1
66221,FUNGUS PLUS,Fluconazole [200 mg],Caps,1x4s,4,1
42781,G-FAST,Fexofenadine [60 mg],Tabs,10s,10,1
42782,G-FLAX,Fluoxetine (HCl) [20 mg],Tabs,10s,10,1
42783,G-WORM,Mebendazole [100 mg/5ml],Susp,30ml,1,1
42784,G-WORM,Mebendazole [100 mg],Tabs,60s,60,1
42785,G-ZOLE,"Diloxanide (Furoate) [250 mg/5ml], Metronidazole [200 mg/5ml]",Susp,60ml,1,1
42786,G-ZOLE,"Diloxanide (Furoate) [500 mg], Metronidazole [400 mg]",Tabs,15s,15,1
42778,GAPLEX-F,"Folic Acid [0.35 mg], Iron Salts [100 mg]",Tabs,10s,10,1
42779,GAPROXIN,Naproxen [500 mg],Tabs,20s,20,1
42780,GEPROL,"Orphenadrine [35 mg], Paracetamol [450 mg]",Tabs,100s,100,1
31633,ISOLIVE,Isosorbide (Dinitrate) [20 mg],Tabs,20s,20,1
31634,ISOLIVE,Isosorbide (Dinitrate) [40 mg],Tabs,20s,20,1
66228,LACTOLIVE,Lactulose [3.35 g],Syrup,120ml,1,1
31631,LIPROTEC,Silymarin [200 mg],Tabs,20s,20,1
31632,LIPROTEC,Silymarin [105 mg/5ml],Syrup,60ml,1,1
66214,MECOLIVE,Mecobalamin [500 mcg],Tabs,2x10s,20,1
 ,MOVIGAR, ,,120ml,1,1
66224,MOVIGAR,Pizotifen (Hydrogen Maleate) [0.25 mg/5ml],Syrup,60ml,1,1
66223,MOVIGAR,Pizotifen (Hydrogen Maleate) [0.5 mg],Tabs,3x10s,30,1
66230,NESTATEN,Nystatin [500000 IU],Drops,30ml,1,1
31647,NEWDIK,Diclofenac (K) [50 mg],Tabs,20s,20,1
32613,NIMOLIVE,Nimesulide [100 mg],Tabs,20s,20,1
